month,year,ordinal,account,install,device,uomdesc,uom,readings,randvalue,
April,2019,89,207143767,3002651745,93936417,KWH,2,180440,118460
April,2019,90,207152095,3002668160,63034350,KVA,1,91,17204
April,2019,91,207152095,3002668160,63034350,KWH,2,43004,28232
April,2019,92,207171764,3003688246,63038251,KVA,1,100,18720
April,2019,93,207171764,3003688246,63038251,KWH,2,17732,11642
April,2019,94,207183720,3002877217,63034840,KVA,1,70,13104
April,2019,95,207183720,3002877217,63034840,KWH,2,8226,5400
April,2019,96,207480709,3002652251,94965987,KVA,1,118,22090
April,2019,97,207480709,3002652251,94965987,KWH,2,75804,49765
April,2019,98,207549189,3002672292,80395531,KVA,1,171,32079
April,2019,99,207549189,3002672292,80395531,KWH,2,109694,72014
April,2019,100,207549757,3003459428,63033743,KVA,1,435,81451
April,2019,101,207549757,3003459428,63033743,KWH,2,385154,252854
April,2019,102,207575534,3003715504,63021492**,KVA,1,80,14976
April,2019,103,207575534,3003715504,63021492**,KWH,2,9846,6465
April,2019,104,207610450,3003063546,63012249,KVA,1,70,13104
April,2019,105,207610450,3003063546,63012249,KWH,2,25146,16508
April,2019,106,207629532,3002672926,63031597,KVA,1,254,47734
April,2019,107,207629532,3002672926,63031597,KWH,2,32506,21340
April,2019,108,220000207,3002669870,63029718,KRH,3,30544,5996
April,2019,109,220000207,3002669870,63029718,KVA,1,172,32198
April,2019,110,220000207,3002669870,63029718,KWH,2,89412,58699
April,2019,111,220000221,3002676332,63022047,KVA,1,122,22838
April,2019,112,220000221,3002676332,63022047,KWH,2,69962,45930
April,2019,113,220000479,3002676355,63020709,KVA,1,142,26620
April,2019,114,220000479,3002676355,63020709,KWH,2,67604,44382
April,2019,115,220000535,3002667901,98453345,KRH,3,5817,1142
April,2019,116,220000535,3002667901,98453345,KVA,1,97,18177
April,2019,117,220000535,3002667901,98453345,KWH,2,70076,46005
April,2019,118,220000609,3003564984,63034676,KRH,3,5829,1144
April,2019,119,220000609,3003564984,63034676,KVA,1,70,13104
April,2019,120,220000609,3003564984,63034676,KWH,2,26204,17203
April,2019,121,220000623,3002667945,98369612,KRH,3,6658,1307
April,2019,122,220000623,3002667945,98369612,KVA,1,74,13989
April,2019,123,220000623,3002667945,98369612,KWH,2,57534,37770
April,2019,124,220000630,3002667949,63034342,KRH,3,20600,4044
April,2019,125,220000630,3002667949,63034342,KVA,1,169,31674
April,2019,126,220000630,3002667949,63034342,KWH,2,122052,80127
April,2019,127,220000831,3002671704,98369236,KVA,1,70,13104
April,2019,128,220000831,3002671704,98369236,KWH,2,25862,16978
April,2019,129,220000905,3002676382,207701426,KVA,1,70,13104
April,2019,130,220000905,3002676382,207701426,KWH,2,10842,7118
April,2019,131,220000937,3003715817,63021699,KVA,1,70,13104
April,2019,132,220000937,3003715817,63021699,KWH,2,17732,11642
April,2019,133,220001000,3002676394,83834799,KVA,1,426,79747
April,2019,134,220001000,3002676394,83834799,KWH,2,361286,237184
April,2019,135,220001320,3002652432,93750739,KVA,1,73,13776
April,2019,136,220001320,3002652432,93750739,KWH,2,7838,5146
April,2019,137,220001433,3002670504,63055049,KRH,3,65,13
April,2019,138,220001433,3002670504,63055049,KVA,1,70,13104
April,2019,139,220001433,3002670504,63055049,KWH,2,10986,7212
April,2019,140,220001514,3002670564,84368262,KVA,1,70,13104
April,2019,141,220001514,3002670564,84368262,KWH,2,17732,11642
April,2019,142,220001842,3002673774,98369507,KRH,3,722,142
April,2019,143,220001842,3002673774,98369507,KVA,1,70,13104
