category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,254,June,2019,300026578,ERF 25 of TECHNIKON,T0IQ0397000000000250000000,Non Residential,1,BOLT STREET,TECHNIKON,220008728,3002669025,63029803,KVA,1,70,13104,0
LPU-Demand  | LV,255,June,2019,300026578,ERF 25 of TECHNIKON,T0IQ0397000000000250000000,Non Residential,1,BOLT STREET,TECHNIKON,220008728,3002669025,63029803,KWH,2,18935,12686,0
LPU-Demand  | LV,256,June,2019,300037869,ERF 144 of TECHNIKON,T0IQ0397000000001440000000,Non Residential,2754,ALBERTINA SISULU ROAD,TECHNIKON,220008870,3002669069,93708266,KVA,1,76,14227,0
LPU-Demand  | LV,257,June,2019,300037869,ERF 144 of TECHNIKON,T0IQ0397000000001440000000,Non Residential,2754,ALBERTINA SISULU ROAD,TECHNIKON,220008870,3002669069,93708266,KWH,2,21522,14129,0
LPU-Demand  | LV,258,June,2019,554369681,REM of ERF 88 of FLORIDA,T0IQ01210000000008800000RE,Non Residential,16,GOLDMAN STREET,FLORIDA,220009312,3002672412,63036017,KVA,1,70,13104,0
LPU-Demand  | LV,259,June,2019,554369681,REM of ERF 88 of FLORIDA,T0IQ01210000000008800000RE,Non Residential,16,GOLDMAN STREET,FLORIDA,220009312,3002672412,63036017,KWH,2,57404,38457,0
LPU-Demand  | LV,260,June,2019,302443288,REM of ERF 999 of FLORIDA,T0IQ01210000000099900000RE,Non Residential,14,GOLDMAN STREET,FLORIDA,220009721,3002653240,83834528,KVA,1,105,19787,0
LPU-Demand  | LV,261,June,2019,302443288,REM of ERF 999 of FLORIDA,T0IQ01210000000099900000RE,Non Residential,14,GOLDMAN STREET,FLORIDA,220009721,3002653240,83834528,KWH,2,60562,39759,0
LPU-Demand  | LV,262,June,2019,300134100,ERF 2348 of FLORIDA,T0IQ0121000000023480000000,Non Residential,42,GOLDMAN STREET,FLORIDA,220010124,3002669825,98453332,KVA,1,91,17113,0
LPU-Demand  | LV,263,June,2019,300134100,ERF 2348 of FLORIDA,T0IQ0121000000023480000000,Non Residential,42,GOLDMAN STREET,FLORIDA,220010124,3002669825,98453332,KWH,2,38082,25001,0
LPU-Demand  | LV,264,June,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KVA,1,122,22876,0
LPU-Demand  | LV,265,June,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KWH,2,35054,23013,0
LPU-Demand  | LV,266,June,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KRH,3,10644,2090,0
LPU-Demand  | LV,267,June,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KVA,1,70,13104,0
LPU-Demand  | LV,268,June,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KWH,2,5818,3820,0
LPU-Demand  | LV,269,June,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KRH,3,321,63,0
LPU-Demand  | LV,270,June,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KVA,1,150,28080,0
LPU-Demand  | LV,271,June,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KWH,2,48899,32703,0
LPU-Demand  | LV,272,June,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KRH,3,433,85,0
LPU-Demand  | LV,273,June,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KVA,1,98,18458,0
LPU-Demand  | LV,274,June,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KWH,2,15548,10207,0
LPU-Demand  | LV,275,June,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KRH,3,3282,644,0
LPU-Demand  | LV,276,June,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KVA,1,107,20049,0
LPU-Demand  | LV,277,June,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KWH,2,22994,15096,0
LPU-Demand  | LV,278,June,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KRH,3,933,183,0
LPU-Demand  | LV,279,June,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KVA,1,174,32573,0
LPU-Demand  | LV,280,June,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KWH,2,52274,34318,0
LPU-Demand  | LV,281,June,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KRH,3,9219,1810,0
LPU-Demand  | LV,282,June,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KVA,1,940,176018,0
LPU-Demand  | LV,283,June,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KWH,2,784138,514787,0
LPU-Demand  | LV,284,June,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KRH,3,65501,12858,0
LPU-Demand  | LV,285,June,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KVA,1,87,16304,0
LPU-Demand  | LV,286,June,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KWH,2,19164,12581,0
LPU-Demand  | LV,287,June,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KRH,3,3751,736,0
LPU-Demand  | LV,288,June,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KVA,1,207,38919,0
LPU-Demand  | LV,289,June,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KWH,2,53292,34986,0
LPU-Demand  | LV,290,June,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KRH,3,10513,2064,0
LPU-Demand  | LV,291,June,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KVA,1,124,23308,0
LPU-Demand  | LV,292,June,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KWH,2,40906,26855,0
LPU-Demand  | LV,293,June,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KRH,3,1654,325,0
LPU-Demand  | LV,294,June,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KVA,1,243,45512,0
LPU-Demand  | LV,295,June,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KWH,2,101263,66830,0
LPU-Demand  | LV,296,June,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KRH,3,10600,2081,0
LPU-Demand  | LV,297,June,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KVA,1,320,59970,0
LPU-Demand  | LV,298,June,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KWH,2,63882,41938,0
LPU-Demand  | LV,299,June,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KRH,3,19515,3831,0
LPU-Demand  | LV,300,June,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KVA,1,70,13104,0
LPU-Demand  | LV,301,June,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KWH,2,20300,13327,0
LPU-Demand  | LV,302,June,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KRH,3,2620,514,0
LPU-Demand  | LV,303,June,2019,300130191,ERF 66 of STORMILL EXT.2,T0IQ0388002000000660000000,Non Residential,1345,SPYKER CRESCENT,STORMILL,220011921,3002667527,63034282,KVA,1,117,22045,0
LPU-Demand  | LV,304,June,2019,300130191,ERF 66 of STORMILL EXT.2,T0IQ0388002000000660000000,Non Residential,1345,SPYKER CRESCENT,STORMILL,220011921,3002667527,63034282,KWH,2,19412,12744,0
LPU-Demand  | LV,305,June,2019,551196166,ERF 67 of STORMILL EXT.2,T0IQ0388002000000670000000,Registered Parcel,1343,SPYKER CRESCENT,STORMILL,220011939,3002667539,99632844,KVA,1,70,13104,0
LPU-Demand  | LV,306,June,2019,551196166,ERF 67 of STORMILL EXT.2,T0IQ0388002000000670000000,Registered Parcel,1343,SPYKER CRESCENT,STORMILL,220011939,3002667539,99632844,KWH,2,5098,3347,0
LPU-Demand  | LV,307,June,2019,300130410,ERF 73 of STORMILL EXT.2,T0IQ0388002000000730000000,Non Residential,1331,SPYKER CRESCENT,STORMILL,220011978,3002667571,63032012,KVA,1,120,22634,0
LPU-Demand  | LV,308,June,2019,300130410,ERF 73 of STORMILL EXT.2,T0IQ0388002000000730000000,Non Residential,1331,SPYKER CRESCENT,STORMILL,220011978,3002667571,63032012,KWH,2,19742,12961,0
LPU-Demand  | LV,309,June,2019,300130410,ERF 73 of STORMILL EXT.2,T0IQ0388002000000730000000,Non Residential,1331,SPYKER CRESCENT,STORMILL,220011978,3002667571,63032012,KRH,3,492,97,0
LPU-Demand  | LV,310,June,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KVA,1,70,13104,0
LPU-Demand  | LV,311,June,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KWH,2,6546,4297,0
LPU-Demand  | LV,312,June,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KRH,3,2716,533,0
LPU-Demand  | LV,313,June,2019,300160132,ERF 82 of STORMILL EXT.3,T0IQ0388003000000820000000,Non Residential,1299,RATCHET AVENUE,STORMILL,220012097,3002667658,95618393,KVA,1,194,36354,0
LPU-Demand  | LV,314,June,2019,300160132,ERF 82 of STORMILL EXT.3,T0IQ0388003000000820000000,Non Residential,1299,RATCHET AVENUE,STORMILL,220012097,3002667658,95618393,KWH,2,100068,65695,0
LPU-Demand  | LV,315,June,2019,300130586,ERF 83 of STORMILL EXT.3,T0IQ0388003000000830000000,Non Residential,1305,RATCHET AVENUE,STORMILL,220012107,3002667663,98370873,KVA,1,372,69805,0
LPU-Demand  | LV,316,June,2019,300130586,ERF 83 of STORMILL EXT.3,T0IQ0388003000000830000000,Non Residential,1305,RATCHET AVENUE,STORMILL,220012107,3002667663,98370873,KWH,2,297614,195384,0
LPU-Demand  | LV,317,June,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KVA,1,156,29353,0
LPU-Demand  | LV,318,June,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KWH,2,114146,74937,0
LPU-Demand  | LV,319,June,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KRH,3,16233,3187,0
TOU | LV,320,June,2019,300130716,ERF 87 of STORMILL EXT.3,T0IQ0388003000000870000000,Non Residential,150,REAMER STREET,STORMILL,220012146,3002671494,80395405,KVA,1,382,71537,0
LPU-Demand  | LV,321,June,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KVA,1,680,127296,0
LPU-Demand  | LV,322,June,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KWH,2,36018,23646,0
LPU-Demand  | LV,323,June,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KRH,3,7934,1558,0
LPU-Demand  | MV,324,June,2019,300159923,ERF 338 of STORMILL EXT.4,T0IQ0388004000003380000000,Non Residential,1109,LEADER AVENUE,STORMILL,220012403,3002674743,80395504,KVA,1,108,19019,0
LPU-Demand  | MV,325,June,2019,300159923,ERF 338 of STORMILL EXT.4,T0IQ0388004000003380000000,Non Residential,1109,LEADER AVENUE,STORMILL,220012403,3002674743,80395504,KWH,2,76794,47217,0
LPU-Demand  | MV,326,June,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KVA,1,2464,431126,0
LPU-Demand  | MV,327,June,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KWH,2,1971960,1212460,0
LPU-Demand  | MV,328,June,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KRH,3,248064,48695,0
LPU-Demand  | LV,329,June,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KVA,1,124,23232,0
LPU-Demand  | LV,330,June,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KWH,2,33912,22263,0
LPU-Demand  | LV,331,June,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KRH,3,4176,820,0
LPU-Demand  | LV,332,June,2019,300128072,ERF 74 of ROBERTVILLE EXT.1,T0IQ0346001000000740000000,Non Residential,1143,ANVIL ROAD,ROBERTVILLE,220012717,3002671342,80395293,KVA,1,551,103275,0
LPU-Demand  | LV,333,June,2019,300128072,ERF 74 of ROBERTVILLE EXT.1,T0IQ0346001000000740000000,Non Residential,1143,ANVIL ROAD,ROBERTVILLE,220012717,3002671342,80395293,KWH,2,331886,217883,0
LPU-Demand  | LV,334,June,2019,300128403,ERF 83 of ROBERTVILLE EXT.1,T0IQ0346001000000830000000,Non Residential,1107,ANVIL ROAD,ROBERTVILLE,220012795,3002671395,80395348,KVA,1,172,32198,0
LPU-Demand  | LV,335,June,2019,300128403,ERF 83 of ROBERTVILLE EXT.1,T0IQ0346001000000830000000,Non Residential,1107,ANVIL ROAD,ROBERTVILLE,220012795,3002671395,80395348,KWH,2,13428,8997,0
LPU-Demand  | LV,336,June,2019,302033588,ERF 122 of ROBERTVILLE EXT.1,T0IQ0346001000001220000000,Non Residential,1178,DOMKRAG STREET,ROBERTVILLE,220012844,3002671431,80395835,KVA,1,404,75684,0
LPU-Demand  | LV,337,June,2019,302033588,ERF 122 of ROBERTVILLE EXT.1,T0IQ0346001000001220000000,Non Residential,1178,DOMKRAG STREET,ROBERTVILLE,220012844,3002671431,80395835,KWH,2,258034,169399,0
LPU-Demand  | LV,338,June,2019,302360553,ERF 454 of ROBERTVILLE EXT.1,T0IQ0346001000004540000000,Non Residential,,,ROBERTVILLE,220012869,3002671458,63021064,KVA,1,70,13104,0
LPU-Demand  | LV,339,June,2019,302360553,ERF 454 of ROBERTVILLE EXT.1,T0IQ0346001000004540000000,Non Residential,,,ROBERTVILLE,220012869,3002671458,63021064,KWH,2,1610,1057,0
LPU-Demand  | LV,340,June,2019,300127985,ERF 458 of ROBERTVILLE EXT.1,T0IQ0346001000004580000000,Non Residential,1157,ANVIL ROAD,ROBERTVILLE,220012876,3002671461,63035740,KVA,1,137,25646,0
LPU-Demand  | LV,341,June,2019,300127985,ERF 458 of ROBERTVILLE EXT.1,T0IQ0346001000004580000000,Non Residential,1157,ANVIL ROAD,ROBERTVILLE,220012876,3002671461,63035740,KWH,2,30736,20178,0
LPU-Demand  | LV,342,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KVA,1,151,28417,0
LPU-Demand  | LV,343,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KWH,2,34606,22719,0
LPU-Demand  | LV,344,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KRH,3,9307,1827,0
LPU-Demand  | LV,345,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KVA,1,418,78268,0
LPU-Demand  | LV,346,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KWH,2,101688,66758,0
LPU-Demand  | LV,347,June,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KRH,3,16207,3182,0
LPU-Demand  | LV,348,June,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KVA,1,86,16185,0
LPU-Demand  | LV,349,June,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KWH,2,20316,13337,0
LPU-Demand  | LV,350,June,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KRH,3,2525,496,0
LPU-Demand  | LV,351,June,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KVA,1,70,13104,0
LPU-Demand  | LV,352,June,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KWH,2,5082,3336,0
LPU-Demand  | LV,353,June,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KRH,3,1761,346,0
LPU-Demand  | LV,354,June,2019,300201565,Portion 3 of ERF 441 of ROBERTVILLE EXT.10,T0IQ0346010000004410000300,Non Residential,1003,CAM CRESCENT,ROBERTVILLE,220013333,3002668373,96948369,KVA,1,245,45969,0
LPU-Demand  | LV,355,June,2019,300201565,Portion 3 of ERF 441 of ROBERTVILLE EXT.10,T0IQ0346010000004410000300,Non Residential,1003,CAM CRESCENT,ROBERTVILLE,220013333,3002668373,96948369,KWH,2,185710,121919,0
LPU-Demand  | LV,356,June,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KVA,1,99,18701,0
LPU-Demand  | LV,357,June,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KWH,2,56412,37034,0
LPU-Demand  | LV,358,June,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KRH,3,13347,2620,0
LPU-Demand  | LV,359,June,2019,554085337,ERF 893 of CONSTANTIA KLOOF EXT.17,T0IQ0060017000008930000000,Non Residential,695,JOSEPH LISTER STREET,Unknown,220014136,3002671130,80395319,KVA,1,232,43484,0
LPU-Demand  | LV,360,June,2019,554085337,ERF 893 of CONSTANTIA KLOOF EXT.17,T0IQ0060017000008930000000,Non Residential,695,JOSEPH LISTER STREET,Unknown,220014136,3002671130,80395319,KWH,2,112700,73988,0
LPU-Demand  | LV,361,June,2019,300218294,ERF 946 of CONSTANTIA KLOOF EXT.21,T0IQ0060021000009460000000,Non Residential,686,JOSEPH LISTER STREET,CONSTANTIA KLOOF,220014143,3002671139,94965922,KVA,1,70,13104,0
LPU-Demand  | LV,362,June,2019,300218294,ERF 946 of CONSTANTIA KLOOF EXT.21,T0IQ0060021000009460000000,Non Residential,686,JOSEPH LISTER STREET,CONSTANTIA KLOOF,220014143,3002671139,94965922,KWH,2,9196,6037,0
LPU-Demand  | LV,363,June,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KVA,1,70,13104,0
LPU-Demand  | LV,364,June,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KWH,2,35136,23067,0
LPU-Demand  | LV,365,June,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KRH,3,4911,964,0
LPU-Demand  | LV,366,June,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KVA,1,70,13104,0
LPU-Demand  | LV,367,June,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KWH,2,4406,2893,0
LPU-Demand  | LV,368,June,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KRH,3,555,109,0
LPU-Demand  | LV,369,June,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KVA,1,202,37908,0
LPU-Demand  | LV,370,June,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KWH,2,151796,99654,0
LPU-Demand  | LV,371,June,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KRH,3,5887,1156,0
LPU-Demand  | LV,372,June,2019,502199051,ERF 88 of MARSHALLS TOWN,T0IR0422000000000880000000,Non Residential,56,MARSHALL STREET,MARSHALLS TOWN,220015845,3002676614,63020416,KVA,1,76,14272,0
LPU-Demand  | LV,373,June,2019,502199051,ERF 88 of MARSHALLS TOWN,T0IR0422000000000880000000,Non Residential,56,MARSHALL STREET,MARSHALLS TOWN,220015845,3002676614,63020416,KWH,2,44072,28933,0
LPU-Demand  | LV,374,June,2019,503705977,ERF 1267 of MARSHALLS TOWN,T0IR0422000000012670000000,Non Residential,87,FOX STREET,MARSHALLS TOWN,220015852,3003533611,99632838,KVA,1,182,34200,0
LPU-Demand  | LV,375,June,2019,503705977,ERF 1267 of MARSHALLS TOWN,T0IR0422000000012670000000,Non Residential,87,FOX STREET,MARSHALLS TOWN,220015852,3003533611,99632838,KWH,2,98916,64938,0
LPU-Demand  | LV,376,June,2019,501786699,ERF 1133 of MARSHALLS TOWN,T0IR0422000000011330000000,Non Residential,4,HARRISON STREET,MARSHALLS TOWN,220015980,3002672693,80395558,KVA,1,75,14192,0
LPU-Demand  | LV,377,June,2019,501786699,ERF 1133 of MARSHALLS TOWN,T0IR0422000000011330000000,Non Residential,4,HARRISON STREET,MARSHALLS TOWN,220015980,3002672693,80395558,KWH,2,2592,1702,0
