category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,30,June,2019,202840299,ERF 209 of WYNBERG,T0IR0744000000002090000000,Non Residential,122,SECOND STREET,WYNBERG,202840299,3002652589,96655382,KRH,3,523,103,0
LPU-Demand  | LV,31,June,2019,202858786,Portion 322 of ERF 196 of OLIEVENHOUTPOORT 196-IQ,T0IQ0000196000001960032200,Non Residential,719,WITKOPPEN ROAD,HOOGLAND,202858786,3003330100,63024756,KVA,1,70,13104,0
LPU-Demand  | LV,32,June,2019,202858786,Portion 322 of ERF 196 of OLIEVENHOUTPOORT 196-IQ,T0IQ0000196000001960032200,Non Residential,719,WITKOPPEN ROAD,HOOGLAND,202858786,3003330100,63024756,KWH,2,7061,4661,0
LPU-Demand  | LV,33,June,2019,202888406,Portion 3 of ERF 5495 of BRYANSTON EXT.91,T0IR0114091000054950000300,Non Residential,,,BRYANSTON,202888406,3002705112,98369103,KVA,1,83,15690,0
LPU-Demand  | LV,34,June,2019,202888406,Portion 3 of ERF 5495 of BRYANSTON EXT.91,T0IR0114091000054950000300,Non Residential,,,BRYANSTON,202888406,3002705112,98369103,KWH,2,15644,10270,0
LPU-Demand  | LV,35,June,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KVA,1,70,13104,0
LPU-Demand  | LV,36,June,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KWH,2,17586,11545,0
LPU-Demand  | LV,37,June,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KRH,3,28,6,0
LPU-Demand  | LV,38,June,2019,205384693,ERF 86 of DUNKELD WEST,T0IR0194000000000860000000,Non Residential,20,BOMPAS ROAD,Dunkeld West,205384693,3002651774,96948395,KVA,1,84,15781,0
LPU-Demand  | LV,39,June,2019,205384693,ERF 86 of DUNKELD WEST,T0IR0194000000000860000000,Non Residential,20,BOMPAS ROAD,Dunkeld West,205384693,3002651774,96948395,KWH,2,46380,30448,0
LPU-Demand  | LV,40,June,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KVA,1,70,13104,0
LPU-Demand  | LV,41,June,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KWH,2,22800,14969,0
LPU-Demand  | LV,42,June,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KRH,3,379,75,0
LPU-Demand  | LV,43,June,2019,205720641,Portion 10 of ERF 775 of TROYEVILLE,T0IR0668000000007750001000,Non Residential,66,PRETORIA STREET,Troyeville,205720641,3003728350,63191837,KVA,1,80,14976,0
LPU-Demand  | LV,44,June,2019,205720641,Portion 10 of ERF 775 of TROYEVILLE,T0IR0668000000007750001000,Non Residential,66,PRETORIA STREET,Troyeville,205720641,3003728350,63191837,KWH,2,3174,2084,0
LPU-Demand  | LV,45,June,2019,205720641,Portion 10 of ERF 775 of TROYEVILLE,T0IR0668000000007750001000,Non Residential,66,PRETORIA STREET,Troyeville,205720641,3003728350,63191837,KRH,3,2419,475,0
