category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,30,May,2019,202840299,ERF 209 of WYNBERG,T0IR0744000000002090000000,Non Residential,122,SECOND STREET,WYNBERG,202840299,3002652589,96655382,KWH,2,20268,13306,0
LPU-Demand  | LV,31,May,2019,202858786,Portion 322 of ERF 196 of OLIEVENHOUTPOORT 196-IQ,T0IQ0000196000001960032200,Non Residential,719,WITKOPPEN ROAD,HOOGLAND,202858786,3003330100,63024756,KWH,2,7440,4884,0
LPU-Demand  | LV,32,May,2019,202858786,Portion 322 of ERF 196 of OLIEVENHOUTPOORT 196-IQ,T0IQ0000196000001960032200,Non Residential,719,WITKOPPEN ROAD,HOOGLAND,202858786,3003330100,63024756,KVA,1,70,13104,0
LPU-Demand  | LV,33,May,2019,202888406,Portion 3 of ERF 5495 of BRYANSTON EXT.91,T0IR0114091000054950000300,Non Residential,,,BRYANSTON,202888406,3002705112,98369103,KVA,1,88,16549,0
LPU-Demand  | LV,34,May,2019,202888406,Portion 3 of ERF 5495 of BRYANSTON EXT.91,T0IR0114091000054950000300,Non Residential,,,BRYANSTON,202888406,3002705112,98369103,KWH,2,17580,11541,0
LPU-Demand  | LV,35,May,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KVA,1,70,13104,0
LPU-Demand  | LV,36,May,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KRH,3,900,177,0
LPU-Demand  | LV,37,May,2019,205299021,Portion 1 of ERF 443 of PARKTOWN NORTH,T0IR0509000000004430000100,Non Residential,169A,JAN SMUTS AVENUE,PARKTOWN NORTH,205199683,3002673154,63029905,KWH,2,20814,13664,0
LPU-Demand  | LV,38,May,2019,205384693,ERF 86 of DUNKELD WEST,T0IR0194000000000860000000,Non Residential,20,BOMPAS ROAD,Dunkeld West,205384693,3002651774,96948395,KVA,1,84,15781,0
LPU-Demand  | LV,39,May,2019,205384693,ERF 86 of DUNKELD WEST,T0IR0194000000000860000000,Non Residential,20,BOMPAS ROAD,Dunkeld West,205384693,3002651774,96948395,KWH,2,48652,31940,0
LPU-Demand  | LV,40,May,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KRH,3,422,83,0
LPU-Demand  | LV,41,May,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KVA,1,70,13104,0
LPU-Demand  | LV,42,May,2019,205576740,ERF 302 of DOORNFONTEIN,T0IR0186000000003020000000,Non Residential,23,BUXTON STREET,DOORNFONTEIN,205576740,3002672836,96948295,KWH,2,25334,16632,0
LPU-Demand  | LV,43,May,2019,205720641,Portion 10 of ERF 775 of TROYEVILLE,T0IR0668000000007750001000,Non Residential,66,PRETORIA STREET,Troyeville,205720641,3003728350,63191837,KRH,3,14105,3275,0
LPU-Demand  | LV,44,May,2019,205720641,Portion 10 of ERF 775 of TROYEVILLE,T0IR0668000000007750001000,Non Residential,66,PRETORIA STREET,Troyeville,205720641,3003728350,63191837,KVA,1,80,14976,0
LPU-Demand  | LV,45,May,2019,205927910,ERF 18 of KILLARNEY,T0IR0365000000000180000000,Registered Parcel,31,FIRST STREET,KILLARNEY,205927910,3003728354,63029576,KWH,2,56770,37270,0
LPU-Demand  | LV,46,May,2019,205927910,ERF 18 of KILLARNEY,T0IR0365000000000180000000,Registered Parcel,31,FIRST STREET,KILLARNEY,205927910,3003728354,63029576,KVA,1,82,15444,0
LPU-Demand  | LV,47,May,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KVA,1,127,23787,0
LPU-Demand  | LV,48,May,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KRH,3,4606,904,0
LPU-Demand  | LV,49,May,2019,206071076,ERF 4689 of JOHANNESBURG,T0IQ0183000000046890000000,Non Residential,1515,ALBERTINA SISULU ROAD,Hillbrow,206071076,3002652266,63020592,KWH,2,114736,75324,0
