category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,257,May,2019,554369681,REM of ERF 88 of FLORIDA,T0IQ01210000000008800000RE,Non Residential,16,GOLDMAN STREET,FLORIDA,220009312,3002672412,63036017,KWH,2,49308,32371,0
LPU-Demand  | LV,258,May,2019,554369681,REM of ERF 88 of FLORIDA,T0IQ01210000000008800000RE,Non Residential,16,GOLDMAN STREET,FLORIDA,220009312,3002672412,63036017,KVA,1,70,13104,0
LPU-Demand  | LV,259,May,2019,302443288,REM of ERF 999 of FLORIDA,T0IQ01210000000099900000RE,Non Residential,14,GOLDMAN STREET,FLORIDA,220009721,3002653240,83834528,KVA,1,89,16748,0
LPU-Demand  | LV,260,May,2019,302443288,REM of ERF 999 of FLORIDA,T0IQ01210000000099900000RE,Non Residential,14,GOLDMAN STREET,FLORIDA,220009721,3002653240,83834528,KWH,2,63066,41403,0
LPU-Demand  | LV,261,May,2019,300134100,ERF 2348 of FLORIDA,T0IQ0121000000023480000000,Non Residential,42,GOLDMAN STREET,FLORIDA,220010124,3002669825,98453332,KVA,1,91,17113,0
LPU-Demand  | LV,262,May,2019,300134100,ERF 2348 of FLORIDA,T0IQ0121000000023480000000,Non Residential,42,GOLDMAN STREET,FLORIDA,220010124,3002669825,98453332,KWH,2,39812,26137,0
LPU-Demand  | LV,263,May,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KWH,2,25006,16416,0
LPU-Demand  | LV,264,May,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KVA,1,70,13104,0
LPU-Demand  | LV,265,May,2019,302159774,ERF 8 of LEA GLEN,T0IQ0212000000000080000000,Non Residential,9,YARON AVENUE,LEA GLEN,220010639,3002667986,63028878,KRH,3,7984,1567,0
LPU-Demand  | LV,266,May,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KWH,2,6652,4367,0
LPU-Demand  | LV,267,May,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KVA,1,70,13104,0
LPU-Demand  | LV,268,May,2019,300125160,ERF 38 of LEA GLEN,T0IQ0212000000000380000000,Non Residential,14,AMANDA AVENUE,LEA GLEN,220010741,3002668057,80395676,KRH,3,67,13,0
LPU-Demand  | LV,269,May,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KWH,2,40424,26539,0
LPU-Demand  | LV,270,May,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KVA,1,150,28080,0
LPU-Demand  | LV,271,May,2019,300160460,ERF 56 of LEA GLEN,T0IQ0212000000000560000000,Non Residential,25,YARON AVENUE,LEA GLEN,220010822,3002671718,93750773,KRH,3,358,70,0
LPU-Demand  | LV,272,May,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KWH,2,29000,19039,0
LPU-Demand  | LV,273,May,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KVA,1,107,20180,0
LPU-Demand  | LV,274,May,2019,300125988,ERF 70 of LEA GLEN,T0IQ0212000000000700000000,Non Residential,8,TAMAR AVENUE,LEA GLEN,220010928,3002671782,63038535,KRH,3,4878,958,0
LPU-Demand  | LV,275,May,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KWH,2,24488,16076,0
LPU-Demand  | LV,276,May,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KRH,3,954,187,0
LPU-Demand  | LV,277,May,2019,300126163,ERF 75 of LEA GLEN,T0IQ0212000000000750000000,Non Residential,4,MINERVA AVENUE,LEA GLEN,220010967,3002671812,63029207,KVA,1,123,23063,0
LPU-Demand  | LV,278,May,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KVA,1,174,32573,0
LPU-Demand  | LV,279,May,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KWH,2,60514,39727,0
LPU-Demand  | LV,280,May,2019,300126533,ERF 91 of LEA GLEN,T0IQ0212000000000910000000,Non Residential,4,AMANDA AVENUE,LEA GLEN,220011054,3002671889,80395740,KRH,3,10372,2036,0
LPU-Demand  | LV,281,May,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KVA,1,1159,216965,0
LPU-Demand  | LV,282,May,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KWH,2,894326,587125,0
LPU-Demand  | LV,283,May,2019,302992601,Portion 3 of ERF 98 of LEA GLEN,T0IQ0212000000000980000300,Non Residential,12,TAMAR AVENUE,LEA GLEN,220011086,3003167462,84368497,KRH,3,73839,14495,0
LPU-Demand  | LV,284,May,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KVA,1,87,16304,0
LPU-Demand  | LV,285,May,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KRH,3,830,163,0
LPU-Demand  | LV,286,May,2019,300198545,ERF 6 of INDUSTRIA NORTH,T0IQ0177000000000060000000,Non Residential,4,DAVY STREET,INDUSTRIA NORTH,220011174,3002652402,83834607,KWH,2,14392,9448,0
LPU-Demand  | LV,287,May,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KWH,2,80374,52766,0
LPU-Demand  | LV,288,May,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KVA,1,256,48073,0
LPU-Demand  | LV,289,May,2019,302761114,ERF 31 of INDUSTRIA NORTH,T0IQ0177000000000310000000,Non Residential,16,RICHARD ROAD,INDUSTRIA NORTH,220011230,3002652447,63054886,KRH,3,17005,3338,0
LPU-Demand  | LV,290,May,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KRH,3,1765,346,0
LPU-Demand  | LV,291,May,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KVA,1,124,23308,0
LPU-Demand  | LV,292,May,2019,302386304,ERF 45 of INDUSTRIA NORTH,T0IQ0177000000000450000000,Non Residential,19,BANFIELD ROAD,INDUSTRIA NORTH,220011270,3002652469,63054690,KWH,2,41546,27275,0
LPU-Demand  | LV,293,May,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KRH,3,12019,2359,0
LPU-Demand  | LV,294,May,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KWH,2,100038,65675,0
LPU-Demand  | LV,295,May,2019,300198785,ERF 55 of INDUSTRIA NORTH,T0IQ0177000000000550000000,Non Residential,3,BARKER ROAD,INDUSTRIA NORTH,220011336,3002670521,85750396,KVA,1,218,40976,0
LPU-Demand  | LV,296,May,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KVA,1,330,61905,0
LPU-Demand  | LV,297,May,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KRH,3,23412,4596,0
LPU-Demand  | LV,298,May,2019,300123331,ERF 88 of INDUSTRIA NORTH,T0IQ0177000000000880000000,Non Residential,67,RICHARD ROAD,INDUSTRIA NORTH,220011470,3002670577,98369795,KWH,2,103100,67686,0
LPU-Demand  | LV,299,May,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KWH,2,18966,12451,0
LPU-Demand  | LV,300,May,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KVA,1,70,13104,0
LPU-Demand  | LV,301,May,2019,300198908,ERF 170 of INDUSTRIA NORTH EXT.1,T0IQ0177001000001700000000,Non Residential,379A,ELMOT ROAD,INDUSTRIA NORTH,220011689,3002673698,98453121,KRH,3,3739,734,0
LPU-Demand  | LV,302,May,2019,300130191,ERF 66 of STORMILL EXT.2,T0IQ0388002000000660000000,Non Residential,1345,SPYKER CRESCENT,STORMILL,220011921,3002667527,63034282,KVA,1,130,24466,0
LPU-Demand  | LV,303,May,2019,300130191,ERF 66 of STORMILL EXT.2,T0IQ0388002000000660000000,Non Residential,1345,SPYKER CRESCENT,STORMILL,220011921,3002667527,63034282,KWH,2,30118,19772,0
LPU-Demand  | LV,304,May,2019,551196166,ERF 67 of STORMILL EXT.2,T0IQ0388002000000670000000,Registered Parcel,1343,SPYKER CRESCENT,STORMILL,220011939,3002667539,99632844,KVA,1,70,13104,0
LPU-Demand  | LV,305,May,2019,551196166,ERF 67 of STORMILL EXT.2,T0IQ0388002000000670000000,Registered Parcel,1343,SPYKER CRESCENT,STORMILL,220011939,3002667539,99632844,KWH,2,4306,2827,0
LPU-Demand  | LV,306,May,2019,300130410,ERF 73 of STORMILL EXT.2,T0IQ0388002000000730000000,Non Residential,1331,SPYKER CRESCENT,STORMILL,220011978,3002667571,63032012,KVA,1,121,22719,0
LPU-Demand  | LV,307,May,2019,300130410,ERF 73 of STORMILL EXT.2,T0IQ0388002000000730000000,Non Residential,1331,SPYKER CRESCENT,STORMILL,220011978,3002667571,63032012,KWH,2,31826,20894,0
LPU-Demand  | LV,308,May,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KWH,2,4724,3101,0
LPU-Demand  | LV,309,May,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KRH,3,1915,376,0
LPU-Demand  | LV,310,May,2019,302694742,ERF 79 of STORMILL EXT.2,T0IQ0388002000000790000000,Non Residential,1319,SPYKER CRESCENT,STORMILL,220012033,3002667614,98453130,KVA,1,70,13104,0
LPU-Demand  | LV,311,May,2019,300160132,ERF 82 of STORMILL EXT.3,T0IQ0388003000000820000000,Non Residential,1299,RATCHET AVENUE,STORMILL,220012097,3002667658,95618393,KVA,1,191,35755,0
LPU-Demand  | LV,312,May,2019,300160132,ERF 82 of STORMILL EXT.3,T0IQ0388003000000820000000,Non Residential,1299,RATCHET AVENUE,STORMILL,220012097,3002667658,95618393,KWH,2,75230,49389,0
LPU-Demand  | LV,313,May,2019,300130586,ERF 83 of STORMILL EXT.3,T0IQ0388003000000830000000,Non Residential,1305,RATCHET AVENUE,STORMILL,220012107,3002667663,98370873,KWH,2,265974,174612,0
LPU-Demand  | LV,314,May,2019,300130586,ERF 83 of STORMILL EXT.3,T0IQ0388003000000830000000,Non Residential,1305,RATCHET AVENUE,STORMILL,220012107,3002667663,98370873,KVA,1,341,63991,0
LPU-Demand  | LV,315,May,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KVA,1,156,29353,0
LPU-Demand  | LV,316,May,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KRH,3,15691,3080,0
LPU-Demand  | LV,317,May,2019,300130628,ERF 84 of STORMILL EXT.3,T0IQ0388003000000840000000,Non Residential,1311,RATCHET AVENUE,STORMILL,220012114,3002667668,96949085,KWH,2,128520,84373,0
TOU | LV,318,May,2019,300130716,ERF 87 of STORMILL EXT.3,T0IQ0388003000000870000000,Non Residential,150,REAMER STREET,STORMILL,220012146,3002671494,80395405,KWH,2,1698720,1158381,0
TOU | LV,319,May,2019,300130716,ERF 87 of STORMILL EXT.3,T0IQ0388003000000870000000,Non Residential,150,REAMER STREET,STORMILL,220012146,3002671494,80395405,KVA,1,323,60587,0
LPU-Demand  | LV,320,May,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KVA,1,690,129168,0
LPU-Demand  | LV,321,May,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KWH,2,36920,24238,0
LPU-Demand  | LV,322,May,2019,300131131,ERF 108 of STORMILL EXT.3,T0IQ0388003000001080000000,Non Residential,1306,REDUKTOR AVENUE,STORMILL,220012315,3002671650,80395368,KRH,3,9919,1947,0
LPU-Demand  | MV,323,May,2019,300159923,ERF 338 of STORMILL EXT.4,T0IQ0388004000003380000000,Non Residential,1109,LEADER AVENUE,STORMILL,220012403,3002674743,80395504,KVA,1,108,19019,0
LPU-Demand  | MV,324,May,2019,300159923,ERF 338 of STORMILL EXT.4,T0IQ0388004000003380000000,Non Residential,1109,LEADER AVENUE,STORMILL,220012403,3002674743,80395504,KWH,2,79720,49016,0
LPU-Demand  | MV,325,May,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KVA,1,2490,435675,0
LPU-Demand  | MV,326,May,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KWH,2,1959708,1204926,0
LPU-Demand  | MV,327,May,2019,303200563,REM of Portion 20 of ERF 226 of PAARDEKRAAL 226-IQ,T0IQ00002260000022600020RE,PSI,184,* *,STORMILL,220012467,3003535463,98449070,KRH,3,249607,48998,0
LPU-Demand  | LV,328,May,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KWH,2,33370,21907,0
LPU-Demand  | LV,329,May,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KRH,3,4448,873,0
LPU-Demand  | LV,330,May,2019,300128033,ERF 72 of ROBERTVILLE EXT.1,T0IQ0346001000000720000000,Non Residential,1147,ANVIL ROAD,ROBERTVILLE,220012700,3002671333,98452846,KVA,1,108,20319,0
LPU-Demand  | LV,331,May,2019,300128072,ERF 74 of ROBERTVILLE EXT.1,T0IQ0346001000000740000000,Non Residential,1143,ANVIL ROAD,ROBERTVILLE,220012717,3002671342,80395293,KVA,1,564,105585,0
LPU-Demand  | LV,332,May,2019,300128072,ERF 74 of ROBERTVILLE EXT.1,T0IQ0346001000000740000000,Non Residential,1143,ANVIL ROAD,ROBERTVILLE,220012717,3002671342,80395293,KWH,2,407686,267646,0
LPU-Demand  | LV,333,May,2019,300128403,ERF 83 of ROBERTVILLE EXT.1,T0IQ0346001000000830000000,Non Residential,1107,ANVIL ROAD,ROBERTVILLE,220012795,3002671395,80395348,KWH,2,15824,10389,0
LPU-Demand  | LV,334,May,2019,300128403,ERF 83 of ROBERTVILLE EXT.1,T0IQ0346001000000830000000,Non Residential,1107,ANVIL ROAD,ROBERTVILLE,220012795,3002671395,80395348,KVA,1,172,32198,0
LPU-Demand  | LV,335,May,2019,302033588,ERF 122 of ROBERTVILLE EXT.1,T0IQ0346001000001220000000,Non Residential,1178,DOMKRAG STREET,ROBERTVILLE,220012844,3002671431,80395835,KVA,1,405,75928,0
LPU-Demand  | LV,336,May,2019,302033588,ERF 122 of ROBERTVILLE EXT.1,T0IQ0346001000001220000000,Non Residential,1178,DOMKRAG STREET,ROBERTVILLE,220012844,3002671431,80395835,KWH,2,307268,201721,0
LPU-Demand  | LV,337,May,2019,302360553,ERF 454 of ROBERTVILLE EXT.1,T0IQ0346001000004540000000,Non Residential,,,ROBERTVILLE,220012869,3002671458,63021064,KVA,1,70,13104,0
LPU-Demand  | LV,338,May,2019,302360553,ERF 454 of ROBERTVILLE EXT.1,T0IQ0346001000004540000000,Non Residential,,,ROBERTVILLE,220012869,3002671458,63021064,KWH,2,1920,1260,0
LPU-Demand  | LV,339,May,2019,300127985,ERF 458 of ROBERTVILLE EXT.1,T0IQ0346001000004580000000,Non Residential,1157,ANVIL ROAD,ROBERTVILLE,220012876,3002671461,63035740,KVA,1,116,21875,0
LPU-Demand  | LV,340,May,2019,300127985,ERF 458 of ROBERTVILLE EXT.1,T0IQ0346001000004580000000,Non Residential,1157,ANVIL ROAD,ROBERTVILLE,220012876,3002671461,63035740,KWH,2,31500,20680,0
LPU-Demand  | LV,341,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KRH,3,9995,1962,0
LPU-Demand  | LV,342,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KVA,1,144,27047,0
LPU-Demand  | LV,343,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012918,3002674492,98368709,KWH,2,36362,23872,0
LPU-Demand  | LV,344,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KWH,2,79042,51891,0
LPU-Demand  | LV,345,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KRH,3,12520,2458,0
LPU-Demand  | LV,346,May,2019,300128788,ERF 107 of ROBERTVILLE EXT.3,T0IQ0346003000001070000000,Non Residential,1154,DOMKRAG STREET,ROBERTVILLE,220012925,3002674498,98452845,KVA,1,418,78268,0
LPU-Demand  | LV,347,May,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KRH,3,1870,367,0
LPU-Demand  | LV,348,May,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KWH,2,19598,12866,0
LPU-Demand  | LV,349,May,2019,303708466,ERF 471 of ROBERTVILLE EXT.10,T0IQ0346010000004710000000,Non Residential,1039,KATROL AVENUE,ROBERTVILLE,220013012,3003534543,80395179,KVA,1,88,16601,0
LPU-Demand  | LV,350,May,2019,303182254,ERF 461 of ROBERTVILLE EXT.10,T0IQ0346010000004610000000,Non Residential,1052,KATROL AVENUE,ROBERTVILLE,220013140,3003566008,93750736,KVA,1,185,34862,0
LPU-Demand  | LV,351,May,2019,303182254,ERF 461 of ROBERTVILLE EXT.10,T0IQ0346010000004610000000,Non Residential,1052,KATROL AVENUE,ROBERTVILLE,220013140,3003566008,93750736,KWH,2,4102,2693,0
LPU-Demand  | LV,352,May,2019,303182254,ERF 461 of ROBERTVILLE EXT.10,T0IQ0346010000004610000000,Non Residential,1052,KATROL AVENUE,ROBERTVILLE,220013140,3003566008,93750736,KRH,3,217,43,0
LPU-Demand  | LV,353,May,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KVA,1,70,13104,0
LPU-Demand  | LV,354,May,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KWH,2,5580,3663,0
LPU-Demand  | LV,355,May,2019,300200219,ERF 408 of ROBERTVILLE EXT.10,T0IQ0346010000004080000000,Non Residential,254,SAAG STREET,ROBERTVILLE,220013196,3002654265,98370450,KRH,3,1618,318,0
LPU-Demand  | LV,356,May,2019,300201565,Portion 3 of ERF 441 of ROBERTVILLE EXT.10,T0IQ0346010000004410000300,Non Residential,1003,CAM CRESCENT,ROBERTVILLE,220013333,3002668373,96948369,KWH,2,205906,135177,0
LPU-Demand  | LV,357,May,2019,300201565,Portion 3 of ERF 441 of ROBERTVILLE EXT.10,T0IQ0346010000004410000300,Non Residential,1003,CAM CRESCENT,ROBERTVILLE,220013333,3002668373,96948369,KVA,1,264,49445,0
LPU-Demand  | LV,358,May,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KVA,1,95,17859,0
LPU-Demand  | LV,359,May,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KRH,3,13783,2706,0
LPU-Demand  | LV,360,May,2019,302387273,Portion 2 of ERF 764 of CONSTANTIA KLOOF EXT.6,T0IQ0060006000007640000200,Non Residential,191,GOLF CLUB TERRACE,CONSTANTIA KLOOF,220013950,3002667226,63034049,KWH,2,58390,38333,0
LPU-Demand  | LV,361,May,2019,554085337,ERF 893 of CONSTANTIA KLOOF EXT.17,T0IQ0060017000008930000000,Non Residential,695,JOSEPH LISTER STREET,Unknown,220014136,3002671130,80395319,KVA,1,232,43484,0
LPU-Demand  | LV,362,May,2019,554085337,ERF 893 of CONSTANTIA KLOOF EXT.17,T0IQ0060017000008930000000,Non Residential,695,JOSEPH LISTER STREET,Unknown,220014136,3002671130,80395319,KWH,2,119176,78239,0
LPU-Demand  | LV,363,May,2019,300218294,ERF 946 of CONSTANTIA KLOOF EXT.21,T0IQ0060021000009460000000,Non Residential,686,JOSEPH LISTER STREET,CONSTANTIA KLOOF,220014143,3002671139,94965922,KWH,2,10592,6954,0
LPU-Demand  | LV,364,May,2019,300218294,ERF 946 of CONSTANTIA KLOOF EXT.21,T0IQ0060021000009460000000,Non Residential,686,JOSEPH LISTER STREET,CONSTANTIA KLOOF,220014143,3002671139,94965922,KVA,1,70,13104,0
LPU-Demand  | LV,365,May,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KVA,1,70,13104,0
LPU-Demand  | LV,366,May,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KRH,3,6706,1316,0
LPU-Demand  | LV,367,May,2019,300259004,ERF 966 of WELTEVREDENPARK EXT.14,T0IQ0467014000009660000000,Non Residential,19,SANDPEER AVENUE,Weltevredenpark,220014714,3002652809,99632952,KWH,2,43082,28283,0
LPU-Demand  | LV,368,May,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KVA,1,70,13104,0
LPU-Demand  | LV,369,May,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KRH,3,662,130,0
LPU-Demand  | LV,370,May,2019,300210023,ERF 3000 of WELTEVREDENPARK EXT.26,T0IQ0467026000030000000000,Non Residential,83,COCKSPUR ROAD,Weltevredenpark,220014785,3002652830,98368631,KWH,2,4498,2953,0
LPU-Demand  | LV,371,May,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KRH,3,5645,1108,0
LPU-Demand  | LV,372,May,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KVA,1,220,41278,0
LPU-Demand  | LV,373,May,2019,300212630,ERF 892 of STRUBENSVALLEI EXT.4,T0IQ0392004000008920000000,Non Residential,1002,FREDENHARRY ROAD,Strubens Valley,220015482,3002652015,63034934,KWH,2,169950,111572,0
LPU-Demand  | LV,374,May,2019,502199051,ERF 88 of MARSHALLS TOWN,T0IR0422000000000880000000,Non Residential,56,MARSHALL STREET,MARSHALLS TOWN,220015845,3002676614,63020416,KVA,1,76,14272,0
LPU-Demand  | LV,375,May,2019,502199051,ERF 88 of MARSHALLS TOWN,T0IR0422000000000880000000,Non Residential,56,MARSHALL STREET,MARSHALLS TOWN,220015845,3002676614,63020416,KWH,2,42502,27903,0
LPU-Demand  | LV,376,May,2019,503705977,ERF 1267 of MARSHALLS TOWN,T0IR0422000000012670000000,Non Residential,87,FOX STREET,MARSHALLS TOWN,220015852,3003533611,99632838,KWH,2,126996,83373,0
LPU-Demand  | LV,377,May,2019,503705977,ERF 1267 of MARSHALLS TOWN,T0IR0422000000012670000000,Non Residential,87,FOX STREET,MARSHALLS TOWN,220015852,3003533611,99632838,KVA,1,189,35549,0
LPU-Demand  | LV,378,May,2019,501786699,ERF 1133 of MARSHALLS TOWN,T0IR0422000000011330000000,Non Residential,4,HARRISON STREET,MARSHALLS TOWN,220015980,3002672693,80395558,KVA,1,121,22789,0
LPU-Demand  | LV,379,May,2019,501786699,ERF 1133 of MARSHALLS TOWN,T0IR0422000000011330000000,Non Residential,4,HARRISON STREET,MARSHALLS TOWN,220015980,3002672693,80395558,KRH,3,827,163,0
LPU-Demand  | LV,380,May,2019,501786699,ERF 1133 of MARSHALLS TOWN,T0IR0422000000011330000000,Non Residential,4,HARRISON STREET,MARSHALLS TOWN,220015980,3002672693,80395558,KWH,2,4396,2886,0
